pdf_hash;body_id;azm_deg;azm_src;dip_deg;dip_src;ddr_deg;ddr_src;stl_m;stl_src;twd_m;twd_src;dwd_m;dwd_src;plg_deg;plg_src;pdr_deg;pdr_src;ore_shape;target_name;target_role;evidence_pages
A07C0673;5;;;;;;;;;;;150.0;exact;;;;;IRR;Cerro Moro;MAIN;54
A07C0673;6;;;;;;;;;;;250.0;exact;;;;;IRR;Cerro Moro;MAIN;54
A07C0673;7;;;;;;;;;1.1;range_mean;;;;;;;TAB;Cerro Moro;MAIN;55
A07C0673;8;;;;;;;5000.0;bounded;2.0;range_mean;120.0;bounded;;;;;TAB;Cerro Moro;MAIN;55
A07C0673;9;;;60.0;exact;45.0;from_dip_cardinal;1300.0;exact;10.0;exact;;;;;;;TAB;Cerro Moro;MAIN;55
A07C0673;10;;;60.0;exact;45.0;from_dip_cardinal;1300.0;exact;4.0;range_mean;;;;;;;TAB;Cerro Moro;MAIN;55
A0C44F24;1;;;70.0;exact;90.0;from_dip_cardinal;16.5;range_mean;2.4;range_mean;;;;;180.0;from_cardinal;TAB;Winston Project;MAIN;52
A0C44F24;2;;;;;;;11000.0;bounded;;;;;;;;;TAB;Winston Project;MAIN;55
A0EB85B6;1;;;;;;;1300.0;exact;200.0;exact;;;;;;;MNT;Quimsacocha;MAIN;51
A0D4212A;1;;;;;;;400.0;from_2d_footprint;300.0;from_2d_footprint;1200.0;exact;;;;;SWK;Caspiche Porphyry;MAIN;120
A0D4212A;2;;;;;;;;;20.0;exact;;;;;;;TAB;Caspiche Porphyry;MAIN;117|124
A109621A;1;;;;;;;2000.0;exact;350.0;exact;;;;;;;LEN;Akasaba;MAIN;39
A1609955;1;;;67.5;range_mean;270.0;from_dip_cardinal;700.0;bounded;47.5;bounded|range_mean;;;;;;;SWK;Grey Eagle;MAIN;51
A1609955;2;;redundant_with_ddr;57.5;range_mean;270.0;from_dip_cardinal;;;72.5;range_mean;;;;;;;SWK;Grey Eagle;MAIN;52
A1609955;3;;;;;;;320.0;bounded;;;;;;;;;N/A;Grey Eagle;MAIN;53
A12CD771;1;;redundant_with_ddr;45.0;exact;225.0;from_dip_cardinal;;;30.0;exact;;;;;;;TAB;Kalum Property;MAIN;32
A12CD771;2;;redundant_with_ddr;65.0;exact;135.0;from_dip_cardinal;30.0;exact;15.0;exact;;;;;;;TAB;Kalum Property;MAIN;33
A12CD771;3;;;;;;;300.0;exact;0.8;bounded|range_mean;;;;;;;TAB;Kalum Property;MAIN;34
A12CD771;4;;redundant_with_ddr;55.0;exact;315.0;from_dip_cardinal;100.0;exact;0.5;bounded;;;;;;;TAB;Kalum Property;MAIN;34
A12CD771;5;;redundant_with_ddr;45.0;exact;45.0;from_dip_cardinal;30.0;exact;0.5;bounded;;;;;;;TAB;Kalum Property;MAIN;35
A12CD771;6;;;;;;;;;2.5;bounded;;;;;;;TAB;Kalum Property;MAIN;35
A12CD771;7;;;;;;;200.0;bounded;1.0;bounded;;;;;;;TAB;Kalum Property;MAIN;36
A12CD771;8;;;;;;;;;0.7;bounded;;;;;;;TAB;Kalum Property;MAIN;36
A12CD771;9;335.0;range_mean;55.0;range_mean;;;80.0;bounded;35.0;range_mean;;;;;;;TAB;Kalum Property;MAIN;40|41
A1646878;1;;redundant_with_ddr;60.0;range_mean;315.0;from_dip_cardinal;1300.0;exact;400.0;exact;;;;;;;TAB;Troilus;MAIN;49
A1646878;2;;;;;;;;;;;;;40.0;range_mean;;;IRR;Troilus;MAIN;49
A1646878;3;;;65.0;exact;270.0;from_dip_cardinal;1200.0;exact;200.0;exact;;;;;;;TAB;Troilus;MAIN;50
A1646878;4;;;;;;;;;35.0;range_mean;;;;;;;N/A;Troilus;MAIN;50
A1646878;5;;;;;;;;;;unparseable;;;;;;;TAB;Troilus;MAIN;45
A179F0F4;1;;;;;;;300.0;from_2d_footprint;200.0;from_2d_footprint;;;;;;;TUB;Discovery Zone;MAIN;35
A18A00BF;1;;;57.5;range_mean;0.0;from_dip_cardinal;760.0;from_metric_paren;;;580.0;from_metric_paren;75.0;range_mean;90.0;from_cardinal;TAB;West Porphyry;MAIN;23
A18A00BF;2;;;;;;;38.1;bounded;4.6;exact;;;;;;;IRR;West Porphyry;MAIN;26
A18A00BF;3;;;;;;;22.9;exact;9.1;exact;;;;;;;IRR;West Porphyry;MAIN;26
A18A00BF;4;;;;;;;;;;;;;;;;;TUB;West Porphyry;MAIN;16|23
A1DFEC6E;1;315.0;exact;;;;;700.0;exact;500.0;exact;800.0;bounded;;;;;SWK;Whistler Deposit;MAIN;60
A1DFEC6E;2;0.0;exact;;;;;500.0;exact;250.0;exact;600.0;exact;;;;;TUB;Whistler Deposit;MAIN;61|62
A1A34919;1;;redundant_with_ddr;75.0;exact;270.0;from_dip_cardinal;;;135.0;range_mean;;;;;;;N/A;Friday Zone;MAIN;32|35
A1A34919;2;;;;;;;;;115.5;range_mean;;;;;;;N/A;Friday Zone;MAIN;41
A2210302;1;;;45.0;range_mean;225.0;from_dip_cardinal;1000.0;bounded;2.5;exact;;;;;;;N/A;Snip;MAIN;58
A2210302;2;;;;;;;500.0;exact;2.5;exact;200.0;exact;;;;;TAB;Snip;MAIN;60
A229D1DC;1;337.0;exact;;;;;1500.0;exact;400.0;exact;;;;;;;N/A;Kebigada;MAIN;86
A26126C6;1;;redundant_with_ddr;72.5;range_mean;270.0;from_dip_cardinal;550.0;bounded|range_mean;9.0;approx_magnitude;;;;;;;TAB;YJG;MAIN;23|24
A26126C6;2;;redundant_with_ddr;85.0;exact;270.0;from_dip_cardinal;1000.0;bounded;0.7;range_mean;;;;;;;TAB;YJG;MAIN;25
A26126C6;3;;redundant_with_ddr;80.0;exact;90.0;from_dip_cardinal;1000.0;bounded;1.8;range_mean;;;;;;;TAB;YJG;MAIN;25
A26126C6;4;;redundant_with_ddr;70.0;exact;90.0;from_dip_cardinal;225.0;range_mean;25.0;exact;;;;;;;TAB;YJG;MAIN;25
A26126C6;5;;redundant_with_ddr;72.5;range_mean;90.0;from_dip_cardinal;700.0;bounded;1.1;range_mean;;;;;;;TAB;YJG;MAIN;26
A26126C6;6;;redundant_with_ddr;70.0;exact;90.0;from_dip_cardinal;150.0;exact;0.6;range_mean;;;;;;;TAB;YJG;MAIN;26
A2442CEA;1;;;;;;;1300.0;from_2d_footprint;600.0;bounded;600.0;bounded;;;0.0;from_cardinal;TUB;Blackwater;MAIN;95|97
A2442CEA;2;;;;;;;;;30.0;approx_magnitude;;;;;0.0;from_cardinal;TUB;Blackwater;MAIN;95
A256C18B;1;;;;;;;750.0;exact;120.0;bounded;150.0;bounded;;;;;SWK;WKP Project;MAIN;24
A256C18B;2;;;;;;;750.0;exact;100.0;exact;200.0;bounded;;;;;SWK;WKP Project;MAIN;26
A256C18B;3;;;;;;;650.0;exact;5.0;bounded;;;;;;;TAB;WKP Project;MAIN;28
A261FE50;1;;;;;;;;;15.0;range_mean;;;;;;;TAB;Up Town Gold;MAIN;24
A261FE50;2;;;;;;;;;1.0;exact;;;;;;;TAB;Up Town Gold;MAIN;24
A261FE50;3;;;;;;;;;20.0;bounded;;;;;;;TAB;Up Town Gold;MAIN;24
A261FE50;4;;;;;;;;;1.0;bounded;;;;;;;BXS;Up Town Gold;MAIN;24
A261FE50;5;;;;;;;;;1.5;range_mean;;;;;;;TAB;Up Town Gold;MAIN;32
A261FE50;6;;;;;;;300.0;approx_magnitude;1.0;bounded;;;;;;;TAB;Up Town Gold;MAIN;32
A261FE50;7;;;;;;;;;1.8;range_mean;;;;;;;TAB;Up Town Gold;MAIN;32
A261FE50;8;;;;;;;250.0;bounded;;;;;;;;;TAB;Up Town Gold;MAIN;32
A261FE50;9;;;;;;;;;3.0;exact;;;;;;;TAB;Up Town Gold;MAIN;34
A261FE50;10;;;;;;;300.0;approx_magnitude;;;;;;;;;TAB;Up Town Gold;MAIN;34
A330B1DB;1;;;;;;;;;8.0;exact;;;;;;;TAB;San Dimas;MAIN;37
A330B1DB;2;;;;;;;;;1.5;exact;;;;;;;TAB;San Dimas;MAIN;37
A330B1DB;3;;;;;;;1500.0;bounded;;;;;;;;;TAB;San Dimas;MAIN;37
A330B1DB;4;;;;;;;2000.0;bounded;;;;;;;;;TAB;San Dimas;MAIN;37
A330B1DB;5;;;;;;;302.5;range_mean;;;;;;;;;IRR;San Dimas;MAIN;39
A330B1DB;6;;;;;;;150.0;exact;;;;;;;;;IRR;San Dimas;MAIN;39
A330B1DB;7;;;;;;;;;;;200.0;bounded;;;;;IRR;San Dimas;MAIN;39
A330B1DB;8;;;;;;;;;;;450.0;range_mean;;;;;MNT;San Dimas;MAIN;40
A35E9957;1;;;;;;;;;;;;;;;;;N/A;Main Zone;MAIN;25
A3373D1C;1;;redundant_with_ddr;65.0;range_mean;82.0;exact;;;60.0;range_mean;;;;;;;TAB;Selinsing;MAIN;71|73
A3373D1C;2;;;;;;;;;;;;;;;135.0;from_cardinal;IRR;Selinsing;MAIN;73
A3373D1C;3;;;;;;;300.0;bounded;1.0;bounded;200.0;bounded;;;;;TAB;Selinsing;MAIN;73
A394643D;1;;;;;;;400.0;exact;250.0;exact;;;;;;;SWK;X1 Deposit;MAIN;82
A3B0117A;1;294.0;exact;74.0;exact;;;700.0;bounded;;;;;;;;;N/A;Trojan Block;MAIN;34
A3B0117A;2;;;;;;;50.0;bounded;10.0;exact;;;;;;;N/A;Trojan Block;MAIN;34
A3B806A7;1;;;;;;;2000.0;bounded;1000.0;exact;300.0;bounded;;;;;SWK;Lagunas Norte;MAIN;57|58
A3D27F2D;1;;redundant_with_ddr;70.0;exact;337.5;from_dip_cardinal;750.0;exact;7.5;range_mean;150.0;bounded;35.0;exact;;;LEN;Arrow Zone;MAIN;40|41
A3D27F2D;2;;redundant_with_ddr;70.0;exact;337.5;from_dip_cardinal;1200.0;exact;;;700.0;exact;35.0;exact;;;LEN;Arrow Zone;MAIN;41
A3E7B696;1;50.0;exact;47.0;range_mean;;;;;17.5;range_mean;;;;;;;TAB;Pershing-Manitou;MAIN;58|59
A42132DF;1;50.0;exact;30.0;exact;;;600.0;exact;;;;;;;;;N/A;Portageur;MAIN;9|11
A3F8326C;1;;;;;;;130.0;exact;10.0;exact;;;;;;;LEN;Tan Chaffao Ouest;MAIN;30
A3F8326C;2;;;75.0;exact;90.0;from_dip_cardinal;350.0;exact;2.0;exact;;;;;;;LEN;Tan Chaffao Ouest;MAIN;31
A3F8326C;3;;;40.0;range_mean;;;1500.0;exact;;;;;;;;;LEN;Tan Chaffao Ouest;MAIN;32|33
A3F8326C;4;;;72.5;range_mean;90.0;from_dip_cardinal;570.0;exact;25.0;exact;;;;;;;LEN;Tan Chaffao Ouest;MAIN;33
A3F8326C;5;;;;;;;300.0;exact;10.0;exact;;;;;;;LEN;Tan Chaffao Ouest;MAIN;34
A3F8326C;6;;;;;;;360.0;exact;6.0;exact;;;;;;;LEN;Tan Chaffao Ouest;MAIN;34
A44E9324;1;;;;;;;600.0;bounded;2.1;range_mean;100.0;bounded;;;;;TAB;Black Dog Zone;MAIN;37
A47DA0A3;1;;;50.0;range_mean;135.0;from_dip_cardinal;;;9.0;range_mean;400.0;exact;;;;;TAB;San Martin;MAIN;21
A47DA0A3;2;;;57.5;range_mean;;;;;;;;;;;;;TAB;San Martin;MAIN;24
A47DA0A3;3;;;;;;;;;;;;;;;;;MNT;San Martin;MAIN;21|24
A47DA0A3;4;;;;;;;;;2.0;exact;;;;;;;TAB;San Martin;MAIN;24
A47DA0A3;5;;;;;;;200.0;bounded;;;;;;;;;TAB;San Martin;MAIN;24
A47DA0A3;6;;;;;;;;;20.0;bounded;;;;;;;SWK;San Martin;MAIN;26
A4588369;1;;;;;;;1500.0;from_2d_footprint;1300.0;from_2d_footprint;700.0;exact;;;;;SWK;Gramalote Ridge;MAIN;67
A4588369;2;;;;;;;;;80.0;range_mean;;;;;;;TAB;Gramalote Ridge;MAIN;68
A4BCF038;1;320.0;exact;;;;;1500.0;exact;11.0;range_mean;;;;;;;TAB;A Zone;MAIN;59
A4BCF038;2;320.0;exact;;;;;1200.0;bounded;50.0;bounded;500.0;exact;;;315.0;from_cardinal;TAB;Western Flanks;MAIN;60|65
A4BCF038;3;;;;;;;60.0;range_mean;3.0;range_mean;;;;;;;IRR;Beta Block;MAIN;62
A47E6B0C;1;;;43.5;range_mean;315.0;from_dip_cardinal;;;;;;;;;;;TAB;Tinago;MAIN;61
A47E6B0C;2;;;;;;;;;3.0;approx_magnitude;155.0;exact;;;;;TAB;Tinago;MAIN;82
A47E6B0C;3;;;35.0;range_mean;0.0;from_dip_cardinal;500.0;bounded;6.5;range_mean;;;;;;;TAB;Tinago;MAIN;82|83
A47E6B0C;4;;;65.0;range_mean;315.0;from_dip_cardinal;;;;;;;;;;;TAB;Miswi;MAIN;61
A47E6B0C;5;;;;;;;180.0;bounded;;;65.0;exact;;;;;TAB;Miswi;MAIN;85
A47E6B0C;6;;;30.0;exact;135.0;from_dip_cardinal;40.0;bounded;1.8;bounded|range_mean;;;;;;;TAB;Miswi;MAIN;104
A47E6B0C;7;;;65.0;range_mean;315.0;from_dip_cardinal;;;;;;;;;;;TAB;Lalab;MAIN;61
A47E6B0C;8;;;60.0;range_mean;135.0;from_dip_cardinal;160.0;exact;;;54.0;bounded;;;;;TAB;Lalab;MAIN;85
A47E6B0C;9;;redundant_with_ddr;55.0;exact;135.0;from_dip_cardinal;;;0.7;range_mean;;;;;;;TAB;Lalab;MAIN;102
A47E6B0C;10;;redundant_with_ddr;50.0;exact;135.0;from_dip_cardinal;;;1.1;exact;;;;;;;TAB;Lalab;MAIN;102
A47E6B0C;11;;;50.0;exact;0.0;from_dip_cardinal;;;;;;;;;;;TAB;Yoyon;MAIN;83
A47E6B0C;12;;;;;;;;;50.0;exact;;;;;;;TAB;Yoyon;MAIN;84
A47E6B0C;13;;;;;;;;;1.2;exact;;;;;;;TAB;Yoyon;MAIN;84
